;Rural/Urban;Mud;Wood, Bamboo;Brick;Stone;Cement;Mosaic, Floor tiles;Any other material
STATE - ANDHRA PRADESH  28;Rural;7 997 880;45 420;94 488;3 829 081;2 931 084;84 033;48 655
STATE - ANDHRA PRADESH  28;Urban;496 367;10 447;28 101;2 362 869;1 558 039;473 033;50 847
STATE - ARUNACHAL PRADESH  12;Rural;62 617;116 707;292;401;37 272;89;388
STATE - ARUNACHAL PRADESH  12;Urban;20 571;10 794;309;377;33 669;147;127
STATE - ASSAM  18;Rural;4 536 303;190 347;49 671;19 399;387 350;8 810;2 410
STATE - ASSAM  18;Urban;389 088;18 905;27 090;11 562;503 712;23 629;718
STATE - BIHAR  10;Rural;12 768 815;86 920;344 648;35 388;1 305 839;27 232;7 064
STATE - BIHAR  10;Urban;621 004;13 685;82 412;10 721;948 452;63 331;1 016
STATE - CHHATTISGARH  22;Rural;3 591 454;7 716;9 415;149 724;248 636;8 881;1 896
STATE - CHHATTISGARH  22;Urban;353 191;2 506;6 200;127 069;423 907;67 147;984
STATE - GOA  30;Rural;105 529;391;850;1 245;77 329;38 726;613
STATE - GOA  30;Urban;36 384;704;1 034;1 393;99 997;93 363;1 310
STATE - GUJARAT  24;Rural;4 452 316;19 276;33 951;327 585;1 819 712;857 525;14 808
STATE - GUJARAT  24;Urban;376 692;13 349;21 264;568 100;1 357 705;2 558 329;26 383
STATE - HARYANA  06;Rural;1 916 218;5 375;520 770;35 181;1 003 792;56 099;7 049
STATE - HARYANA  06;Urban;220 096;3 282;155 829;78 591;976 468;119 526;7 999
STATE - HIMACHAL PRADESH  02;Rural;1 297 320;228 996;6 528;50 324;571 209;10 132;3 830
STATE - HIMACHAL PRADESH  02;Urban;28 127;7 030;1 518;1 879;192 280;9 034;715
STATE - JAMMU & KASHMIR  01;Rural;1 555 302;151 794;9 660;8 926;391 929;4 661;3 214
STATE - JAMMU & KASHMIR  01;Urban;130 680;20 299;5 125;3 239;464 219;17 996;1 508
STATE - JHARKHAND  20;Rural;3 801 701;6 243;48 437;6 281;619 037;4 861;2 647
STATE - JHARKHAND  20;Urban;339 473;6 704;27 843;4 361;935 525;34 438;971
STATE - KARNATAKA  29;Rural;4 910 985;41 439;41 400;1 418 565;2 407 358;132 880;45 854
STATE - KARNATAKA  29;Urban;534 482;17 031;23 660;853 468;2 467 362;912 206;23 406
STATE - KERALA  32;Rural;1 791 236;21 667;53 279;80 733;4 505 922;392 957;48 982
STATE - KERALA  32;Urban;284 427;5 094;22 466;17 821;1 716 511;378 387;37 392
STATE - MADHYA PRADESH  23;Rural;9 209 664;18 594;45 042;321 367;654 200;131 912;11 758
STATE - MADHYA PRADESH  23;Urban;1 103 837;12 342;25 222;512 506;1 349 038;615 130;8 734
STATE - MAHARASHTRA  27;Rural;10 777 153;64 916;105 431;533 788;1 126 947;1 658 651;142 109
STATE - MAHARASHTRA  27;Urban;1 412 513;48 147;74 552;551 808;2 530 113;6 316 465;258 796
STATE - MANIPUR  14;Rural;286 826;48 365;2 112;1 671;22 342;586;127
STATE - MANIPUR  14;Urban;92 392;2 604;2 237;1 344;30 153;1 426;186
STATE - MEGHALAYA  17;Rural;173 749;167 671;1 588;1 209;55 987;370;818
STATE - MEGHALAYA  17;Urban;16 345;40 313;431;792;59 981;1 020;328
STATE - MIZORAM  15;Rural;7 330;76 349;83;106;7 142;4;174
STATE - MIZORAM  15;Urban;7 194;56 040;164;105;34 948;249;181
STATE - NAGALAND  13;Rural;187 841;68 061;1 573;1 379;35 331;551;182
STATE - NAGALAND  13;Urban;25 835;13 717;577;391;43 670;1 181;56
STATE - ORISSA  21;Rural;6 507 071;72 064;78 575;39 601;1 661 232;13 539;6 425
STATE - ORISSA  21;Urban;391 466;35 953;16 897;6 799;992 842;48 400;2 165
STATE - PUNJAB  03;Rural;1 907 982;6 549;655 972;104 777;1 063 286;59 930;6 579
STATE - PUNJAB  03;Urban;288 532;5 585;342 473;283 772;1 149 899;81 937;10 203
STATE - RAJASTHAN  08;Rural;5 634 567;17 450;133 296;879 243;2 892 857;124 357;55 774
STATE - RAJASTHAN  08;Urban;358 679;6 368;75 403;676 792;1 704 100;353 253;25 594
STATE - SIKKIM  11;Rural;44 708;24 060;204;2 225;38 078;475;205
STATE - SIKKIM  11;Urban;637;1 039;25;56;16 250;876;5
STATE - TAMIL NADU  33;Rural;4 178 613;12 476;181 770;44 746;5 095 522;199 742;11 842
STATE - TAMIL NADU  33;Urban;955 203;9 546;148 668;31 472;5 024 425;1 080 325;22 254
STATE - TRIPURA  16;Rural;618 452;30 644;11 307;831;39 045;674;202
STATE - TRIPURA  16;Urban;83 829;1 220;7 774;737;66 737;1 638;93
STATE - UTTAR PRADESH  09;Rural;23 548 929;82 547;1 135 947;97 578;2 180 738;115 504;17 740
STATE - UTTAR PRADESH  09;Urban;1 766 174;31 881;827 258;144 213;3 924 493;416 239;12 214
STATE - UTTARANCHAL  05;Rural;1 389 703;52 751;21 658;71 481;461 179;12 953;2 905
STATE - UTTARANCHAL  05;Urban;75 802;3 384;12 336;5 481;404 278;51 714;657
STATE - WEST BENGAL  19;Rural;11 441 120;151 907;415 797;50 849;2 307 003;30 558;16 077
STATE - WEST BENGAL  19;Urban;1 245 696;59 323;194 141;29 636;3 872 338;318 914;6 798
UNION TERRITORY - ANDAMAN & NICOBAR ISLANDS  35;Rural;34 822;5 077;121;181;31 392;91;152
UNION TERRITORY - ANDAMAN & NICOBAR ISLANDS  35;Urban;2 660;1 478;136;108;27 636;343;25
UNION TERRITORY - CHANDIGARH  04;Rural;2 605;52;1 265;118;22 095;269;24
UNION TERRITORY - CHANDIGARH  04;Urban;23 578;279;4 111;5 703;160 327;20 269;3 439
UNION TERRITORY - DADRA & NAGAR HAVELI  26;Rural;25 886;36;295;404;8 108;6 086;109
UNION TERRITORY - DADRA & NAGAR HAVELI  26;Urban;2 391;31;166;481;5 950;7 381;179
UNION TERRITORY - DAMAN & DIU  25;Rural;5 494;88;77;308;21 840;6 453;55
UNION TERRITORY - DAMAN & DIU  25;Urban;787;81;102;542;8 978;9 032;65
UNION TERRITORY - DELHI  07;Rural;47 809;311;24 879;4 947;147 382;18 494;866
UNION TERRITORY - DELHI  07;Urban;213 832;4 790;120 231;92 931;2 266 101;427 073;10 310
UNION TERRITORY - LAKSHADWEEP  31;Rural;1 390;1;12;3;7 759;261;33
UNION TERRITORY - LAKSHADWEEP  31;Urban;753;2;9;4;5 830;338;212
UNION TERRITORY - PONDICHERRY  34;Rural;36 591;88;600;227;49 992;2 440;41
UNION TERRITORY - PONDICHERRY  34;Urban;25 155;203;928;428;120 156;29 677;680
